Nom;Niveau de deblocage;Effets
Symbiose;;L'Osamodas gagne un bonus de dommages en mêlée en échange d'une partie de ses résistances lorsque son invocation revient dans le Gobgob. Quand Invocation meurt (peu importe la manière) : - 30 % Dommages infligés en mêlée (1 tour) - -100 Résistance élémentaire (1 tour) L'état n'est pas cumulable
Art du dressage;;Deux créatures du Gobgob peuvent être invoquées sur le terrain en même temps. En contrepartie, les dommages qu'elles subissent sont transmis à l'Osamodas. Il est impossible d'invoquer deux fois la même créature sur le terrain, mais il est possible pour deux Osamodas d'invoquer chacun une créature différente. Il est possible d'invoquer deux créatures simultanément Les dommages subis par les invocations sont transmis à l'Osamodas Les créatures invoquées gagnent Mal d'invocation (1 tour)
Dévouement animal;;L'Osamodas gagne des capacités de soutien en échange d'une partie de ses dégâts. -25 % Dommages infligés et Soins réalisés (transmis à ) Les sorts monocible sur les alliés n'infligent plus de dommages et ont des effets supplémentaires (doublés sur Invocation) Les sorts feu appliquent Enflammé (6/PA) Les sorts terre donnent de l'armure (126/PA) Les sorts air soignent 3 % de la vie manquante de la cible par PA
Étoile de l'Est;;Les auras du Gobgob peuvent être appliquées sur l'Osamodas mais durent moins longtemps. Les auras du Gobgob peuvent être appliquées sur l'Osamodas Les auras du Gobgob ne durent plus qu'1 tour
Sacrifice animal;;L'Osamodas gagne des PW max mais perd en souplesse dans sa gestion de l'invocation. 3 PW Le sort Invocation n'est plus à portée modifiable
Étoile du Sud;;Les auras du Gobgob appliquent un effet aux combattants tant qu'ils sont dans l'aura. Les combattants ont des effets supplémentaires lorsqu'ils sont dans une aura du Gobgob Aura lunaire : - Inflige 20 % de dommages en moins aux alliés du porteur de l'aura Aura solaire : - 2 Portée et 15 % Dommages infligés
Transcendance draconique;;En forme draconique, le premier sort élémentaire lancé sur l'Osamodas ou son invocation voit sa zone d'effet augmentée. Forme draconique : - Le premier sort élémentaire du tour est effectué en croix (2) au lieu de (1)
Puissance draconique;;L'Osamodas devient plus puissant en forme draconique mais régénère plus difficilement ses PW. Forme draconique : - 25 % Dommages infligés -1 PW en fin de tour L'Osamodas perd Forme draconique s'il n'a plus de PW
Synergie animale;;L'Osamodas sacrifie une partie de sa puissance pour la transmettre à ses invocations. Lorsqu'une invocation tue un ennemi, l'Osamodas régénère des PW. -20 % Dommages infligés Les Dommages des Invocation sont augmentés de 20 % Quand Invocation tue un ennemi : - 2 PW (4 maximum)
Force-Taure;;L'Osamodas et son invocation infligent davantage de dommages Monocible au détriment de leur esquive. 30 % Dommages monocible (transmis à Invocation) Réduit l'esquive à 0
Esprit du phénix;;L'Osamodas peut réinvoquer plus rapidement une créature revenue dans son Gobgob. En contrepartie, ses invocations possèdent moins de PV. Le délai de réinvocation d'une invocation est réduite de 2 tours Les Invocation possèdent 30 % de PV en moins
Rage du Mulou;;L'invocation est plus difficile à maintenir en vie mais gagne des bonus au fil des tours passés sur le terrain. Invocation : - -75 Résistance élémentaire En début de tour (3 fois maximum) : - 15 % Dommages infligés - 15 % Soins réalisés - 1 PM
Invocateur solitaire;;En fin de tour, l'Osamodas gagne des PA pour le prochain tour si son invocation n'est pas sur le terrain. En fin de tour, si pas de Invocation en vie : - 3 PA pour le prochain tour
Guerrier invocateur;;L'Osamodas sacrifie une partie de la puissance de son invocation pour devenir plus fort. 20 % Dommages infligés Les Dommages et Soins des Invocation sont réduits de 20 %
Vision du Corbac;;Les invocations ne gênent plus la ligne de vue. L'Osamodas gagne en portée afin d'en profiter au mieux. Invocation : - Ne bloque plus les lignes de vue 2 Portée
Don animal;;L'Osamodas regagne 1 PW en début de tour si son invocation est sur le terrain. En contrepartie, réinvoquer une même invocation devient plus difficile. En début de tour, si Invocation est en vie : - 1 PW Le délai de réinvocation d'une invocation est augmentée de 2 tours
Partage animal;;L'Osamodas sacrifie une partie de ses résistances pour les donner à ses invocations. Lorsqu'il est attaqué, ses invocations gagnent des bonus. -100 Résistance élémentaire Invocation gagne 100 Résistance élémentaire Si l'Osamodas subit des dommages : - 10 % Dommages infligés (non cumulable) - 1 PM (non cumulable)
