Nom;Niveau de deblocage;Effets
Maître du cadran;;Les effets délayés (déclenchements de Sinistro, Sablier, Contre la montre, etc.) se déclenchent aussi lorsque l'heure courante fait un tour du cadran. Quand l'heure courante fait un tour du Cadran : - Les effets délayés sont effectués immédiatement
Présages violents;;L'heure courante inflige des dommages élevés à tous les combattants qui commencent leur tour dessus. 30 % Dommages indirects infligés En début de tour, sur l'heure courante : - Dommage : 32
Flétrissement;;Les retraits de PA effectués à distance (3 cases et plus du Xélor) sont remplacés par une application de dommages indirects sur la cible. Transforme les retraits de PA à distance - Ne retire plus de PA - Dommage : 6 en début de tour
Mage de combat;;Les retraits de PA effectués en mêlée (2 cases et moins du Xélor) sont remplacés par un malus de dommages sur la cible. Transforme les retraits de PA en mêlée - Ne retire plus de PA -3 % Dommages infligés (1 tour) (max 30)
Permutation momentanée;;Le Cadran, qui est Stabilisé, peut être replacé n'importe où sur le terrain à l'aide de ce passif. Le Xélor échange de position avec son Cadran à chaque fin de tour. En fin de tour du Xélor : - Échange de position avec le cadran Le Cadran gagne 100 Résistance Élémentaire
Mécanismes spécialisés;;Les invocations du Xélor (Cadran, Sinistro, Rouage, Régulateur) gagnent une capacité : lorsqu'elles sont invoquées, le Xélor échange immédiatement de position avec (dans une limite de 6 de Portée). En invoquant un Rouage, Sinistro, Cadran ou Régulateur : - Échange immédiatement de position avec (6 cases max)
Rémanence;;Les invocations du Xélor (Cadran, Sinistro, Rouage, Régulateur) ne peuvent plus bloquer la ligne de vue : les sorts ennemis et alliés peuvent passer au travers. Les invocations ne bloquent plus la ligne de vue +1 Sinistro et +1 Rouage max
Ralentissement du temps;;Le Cadran répartit ses Cases heure sur un anneau de taille 6 plutôt que de taille 3. Chaque case heure est à quatre cases de la suivante, contrairement à la disposition classique du Cadran (deux cases). Augmente la taille du Cadran Les sorts élémentaires peuvent être uniquement lancés depuis une case heure lorsqu'un Cadran est en jeu
Dimension sombre;;L'heure courante donne un bonus de Volonté, ce qui améliore la faculté du Xélor à retirer des PA. Cependant, les retraits de PA du Xélor ne peuvent désormais s'effectuer que depuis l'heure courante ou s'il possède Ponctualité. L'heure courante donne un bonus de 30 Volonté Les retraits de PA ne peuvent être infligés que depuis l'heure courante ou avec Ponctualité
Cours du temps;;Les transpositions causées par le Xélor par le biais de ses sorts ou passifs lui font regagner 1 Point d'Action ou 1 Point de Wakfu. À chaque transposition causée par le Xélor : - régénère 1 PA si Distorsion est actif - Autrement, régénère 1 PW Distorsion possède 3 tours de relance
Connaissance du passé;;Le cadran devient plus cher à invoquer. Cependant, lorsque l'heure courante fait un tour complet du cadran, le Xélor regagne des PA et des PW. Quand l'heure courante fait un tour du Cadran : - régénère 2 PW - gagnera 2 PA en début de tour Le Cadran coûte 2 PW supplémentaires
Déjà vu;;Selon la position de l'heure courante lorsque le cadran est invoqué, les dommages du Xélor sont moins élevés, mais régénèrent la vie du Xélor. Lorsque l'heure courante est impaire : -25 % Dommages infligés - 25 % vol de vie
Contre-horaire;;Un tour sur deux, l'heure courante avance dans l'autre sens. Tour pair : Inverse la rotation de l'heure courante
Mémoire;;Gagne une grande quantité de PW, mais perd en mobilité via une contrainte sur ses PM. 6 PW En début de combat : -2 PM max
Horlogerie;;Le Xélor est téléporté sur l'heure courante de son Cadran à chaque début de tour. Si la case de l'heure courante est occupée par un obstacle, alors le Xélor échange de position avec l'obstacle. En début de tour, le Xélor se téléporte sur l'heure courante Cadran passe à 2 tours de relance
Taque, Tique;;Augmente les dommages infligés les tours pairs, et les diminue les tours impairs. Afin d'exploiter tout le potentiel de ce passif, le Xélor peut conserver des ressources d'un tour à l'autre pour les utiliser au moment opportun. Tour impair : -20 % Dommages infligés Tour pair : 20 % Dommages infligés
Tique, Taque;;Diminue la Volonté les tours pairs, et l'augmente les tours impairs. Afin d'exploiter tout le potentiel de ce passif, le Xélor peut conserver des ressources d'un tour à l'autre pour les utiliser au moment opportun. Tour impair : 20 Volonté Tour pair : -20 Volonté
Présage;;Le Xélor regagne des PW lorsqu'il retire des PA à des ennemis. En revanche, il ne regagne plus de PW en fonction de son nombre de PA en fin de tour. 1 PW à chaque retrait PA (1 fois par ) Le Xélor ne régénère pas de PW en fonction des PA en fin de tour
Promptitude;;Selon la position de l'heure courante lorsque le cadran est invoqué, les sorts élémentaires du Xélor passent sans ligne de vue et peuvent donc cibler à travers les obstacles. En revanche, ils sont contraints à un lancer en ligne. Quand l'heure courante est paire : - Les sorts se lancent sans ligne de vue - Les sorts ne se lancent qu'en ligne
Assimilation;;Réduit la jauge de PW du Xélor, mais lui octroie une capacité supplémentaire de régénération de PW. -6 PW max Lorsque le Xélor tue un combattant (alliés et invocations compris) : - Régénère 2 PW
