Nom;Niveau de deblocage;Effets
Collisions de support;;Le Zobal augmente son potentiel de support via les collisions. Certains jeunes adeptes le chantent : "colli, colli, colli, colli...". Applique Bonus critique sur une cible non-poussée : - La cible subissant la collision n'est pas cible directe d'une poussée Les collisions ne retirent plus de PA
Regard masqué;;Le Zobal gagne en mobilité, mais ne peut plus lancer le moindre sort à son contact. 1 PM +1 Portée minimale des sorts élémentaires
Art de la fuite;;Le Zobal gagne en Dommages à distance en fonction de son esquive. 1 Maîtrise Distance pour 2 Esquive Max : 200 % du niveau (0)
Au contact;;Le Zobal gagne en capacités de dommages et résistances s'il reste au corps-à-corps d'un combattant (allié ou ennemi). S'il s'éloigne et termine son tour isolé, il possède un malus à la place. En fin de tour, si au moins un combattant au contact : - 15 % Dommages infligés (1 tour) - 75 Résistance élémentaire (1 tour) Sinon : -10 % Dommages infligés (1 tour) -50 Résistance élémentaire (1 tour)
Miroirs;;Le Zobal échange de position avec la cible directe d'un sort lancé en mêlée. Le Zobal ne peut pas échanger de position s'il est porté ou stabilisé. Le Zobal échange de position avec la cible directe d'un sort lancé en mêlée
Collisions régénérantes;;Les collisions gagnent un effet de soin. Il faut pousser un obstacle contre un autre, et c'est cet autre obstacle qui bénéficiera du soin. Soin de collision sur une cible non-poussée - Soin : 1 par PA du sort - L'élément du soin dépend du sort - La cible subissant la collision n'est pas cible directe d'une poussée Les collisions ne retirent plus de PA
Virevolte;;Augmente les dommages de côté mais réduit les dommages de face. 25 % Dommages infligés de côté -25 % Dommages infligés de face
Érosion;;Change le Masque de Psychopathe afin que les sorts du Zobal retirent des résistances aux adversaires : plus précisément sur la cible directe du sort lancé. Le retrait de résistance s'effectue avant les effets (dommages etc.) de ses sorts. En revanche, le Zobal perd en capacités offensives. -25 % Dommages infligés Modifie les effets du Masque de psychopathe II - Quand le Zobal lance un sort sur un ennemi : -15 Résistance par PA/PM du sort (1 tour) -30 Résistance par PW du sort (1 tour)
Armure unique;;Ce passif rend bien plus forte l'armure donnée sur une cible qui n'en possède pas du tout. C'est tout un art de donner de l'Armure lorsque la situation s'y prête. 100 % Armure donnée sur les cibles n'ayant pas d'Armure -50 % Armure donnée sinon
Protecteur reculé;;Ce passif rend variable l'efficacité des soins réalisés, selon la circonstance des interventions du Zobal. Il gagne du soin s'il n'a pas soigné au tour précédent, et perd du soin s'il a soigné au tour précédent. En fin de tour, si le Zobal n'a pas réalisé de soin : - 30 % Soins réalisés et 1 PO (1 tour) En fin de tour, si le Zobal a réalisé un soin : -20 % Soins réalisés (1 tour)
Brute;;Le Zobal se spécialise dans les dégâts, et inflige davantage de dommages à ses adversaires. Ce faisant, ses capacités d'Armure donnée et reçue sont réduites. 25 % Dommages infligés -40 % Armure reçue, -40 % Armure donnée
Ancre;;Le Zobal gagne en tacle pour retenir ses adversaires au corps-à-corps, mais il perd en mobilité en échange. En début de combat : - Tacle doublé -1 PM max
Jeu de jambes;;Le Zobal gagne en mobilité mais perd en résistance. Gain d'Esquive : 200 % du niveau (+0) À chaque esquive du Zobal : - 1 PM (max 3 par tour) -50 Résistance élémentaire
Carnaval;;Les masques ne consomment pas de PW, mais ils ont 4 tours de relance partagés. Les masques ne coûtent pas de PW Les masques ont 4 tours de relance
Masque de vie;;Ce passif donne au Zobal une capacité de vol de vie sur les cibles qu'il attaque de face. En attaquant une cible de face : - Vole 50 % des Dommages infligés
Art de la vengeance;;Le Zobal gagne en Dommages de mêlée en fonction de son tacle. 1 Maîtrise Mêlée pour 2 Tacle Max : 200 % du niveau (0)
Poussées violentes;;"Dopou" était un célèbre Zobal spécialiste des collisions. Il parvenait à pousser ses adversaires tant et si bien qu'ils subissaient des dommages de poussée. Un art ancestral qu'on croyait disparu depuis l'âge des Dofus... Dommages de collision sur une cible poussée - Dommage : 13 par PA du sort - L'élément des dommages dépend du sort Les collisions ne retirent plus de PA
Bas les masques;;Le Zobal regagne 2 PA lorsqu'il se met à porter un masque autre que celui qu'il possède déjà. Changer de masque fait regagner 2 PA (1 fois par tour)
Poussées d'entrave;;Les poussées entraînant une collision ne retirent plus de PA, mais retirent des PM à la place. Utile pour les Zobals voulant réduire la mobilité de ses adversaires. -1 PM lors d'une collision sur une cible poussée - La cible subissant la collision est cible d'une poussée Les collisions ne retirent plus de PA 10 Volonté
