Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique
Filouterie;;2;0;0;eau;monocible;2-5;oui;Inflige des dommages Eau et vole 1 PM à la cible ou 2 PM si elle en possède plus que l'Enutrof.;Dommage : 55 Vole 1 PM Si la cible a plus de PM que l'Enutrof : - Vole 2 PM à la place;2;2;55;69
Purge;;3;0;0;eau;zone;3-6;oui;Inflige des dommages eau à longue distance et vole de la portée à la cible. Si l'Enutrof cible un Gisement, la zone d'effet du sort est augmentée.;Dommage : 83 Vole 1 Portée (1 tour) Si un est sur la cellule visée : - Les effets passent en zone;3;3;83;104
Coupures;;3;0;0;eau;monocible;2-4;oui;Inflige des dommages Eau à une cible, quadruplés s'il s'agit d'une invocation. Si l'Enutrof tue sa cible avec ce sort, il gagne l'état Trésors.;Dommage : 105 - Dommages quadruplés sur les invocations Si l'Enutrof tue un combattant avec ce sort : - Trésors (+1 Niv.);3;3;105;132
Taxe;;4;0;0;eau;monocible;2-5;oui;Inflige des dommages Eau. Si l'Énutrof possède l'état Trésors, l'état est consommé et inflige une perte de PM à sa cible.;Dommage : 121 Si l'Enutrof possède Trésors : - -4 PM - Consomme 1 Trésors;4;5;121;152
Epuration;;5;0;0;eau;monocible;2-6;oui;Inflige de lourds dommages Eau. Si l'Énutrof possède l'état Trésors, l'état est consommé pour infliger davantage de dommages.;Dommage : 212 Si l'Enutrof a l'état Trésors : - Dommage : 266 à la place - Consomme 1 Trésors;7;8;212;266
Braise;;3;0;0;feu;zone;1-4;oui;Inflige des dommages Feu en zone.;Dommage : 83;3;3;83;104
Météore;;2;0;0;feu;zone;2-4;oui;Inflige des dommages Feu aux ennemis en zone. L'Enutrof déplace le Gisement le plus proche sur la case ciblée.;Déplace le le plus proche sur la cellule visée Dommage : 83;3;3;83;104
Fusion;;3;0;0;feu;monocible;1-4;oui;Si l'Enutrof est sur un Gisement, il le déplace instantanément sous sa cible avant de lui infliger des dommages feu. S'il possède l'état Trésors en plus, il consomme l'état pour invoquer aussitôt un nouveau Gisement sur sa position (seulement si le Gisement déplacé a été consommé). Dans ce cas-là, le Gisement consommé ne donne pas de Trésors à l'Enutrof.;Si l'Enutrof est sur un : - Déplace le sous la cible Si l'Enutrof a l'état Trésors et que le est consommé : - Un nouveau est invoqué sous l'Enutrof - Consomme 1 Trésors au lieu d'en générer un Dommage : 111;4;5;111;139
Coup de grisou;;4;0;0;feu;zone;1-6;oui;L'Enutrof inflige des dommages importants autour d'un de ses Gisements. Ce sort peut être lancé n'importe où sur le terrain, mais il doit cibler un Gisement.;Dommage : 111 Doit cibler un;4;5;111;139
Coulée de lave;;5;0;0;feu;zone;1-4;oui;Inflige d'importants dommages Feu en zone. Si l'Enutrof est en forme Phorzerker et que la case visée est libre, il se téléporte.;Forme Phorzerker : - Se téléporte sur la cellule visée avant de faire les dommages Dommage : 167;6;7;167;209
Pelle du jugement;;2;0;0;terre;monocible;1-3;oui;Inflige des dommages Terre. Si l'Enutrof est en phorzerker, les dommages traversent l'Armure et ignorent la Parade. Sinon, la cible perd de la Portée.;Dommage : 65 Forme Enutrof : - Aveuglé (+1 Niv.) Forme Phorzerker : - Les dommages traversent l'Armure;2;2;65;82
Pelle tueuse;;3;0;0;terre;monocible;2-4;oui;Pousse la cible en forme normale et échange de position en Phorzerker. Inflige ensuite des dommages Terre.;Forme Enutrof : - Pousse de 1 case Forme Phorzerker : - Echange de position Dommage : 91;3;3;91;114
Roulage de pelle;;3;0;0;terre;monocible;1-4;oui;Inflige des dommages Terre. En forme normale, ce sort retire des PM à la cible. En phorzerker, l'Enutrof se rapproche au contact de la cible avant d'infliger les dommages.;Forme Enutrof : - -2 PM Forme Phorzerker : - Se rapproche de la cible Dommage : 121;4;5;121;152
Pelle mêle;;4;0;0;terre;monocible;1-4;oui;Inflige des dommages Terre. Retire des PA à la cible en forme normale et vole de la vie en Phorzerker. Si l'Enutrof possède l'état Trésors, il le consomme pour doubler les effets secondaires du sort.;Dommage : 121 Forme Enutrof : -2 PA Forme Phorzerker : - Vole 100 % des dommages infligés Si l'Enutrof a l'état Trésors : - Les effets sont doublés - Consomme 1 Trésors;4;5;121;152
Pelle sismique;;5;0;0;terre;zone;1-1;oui;Inflige des dommages en ligne face à l'Enutrof. Si son Phorreur se trouve au bout de la zone, il réplique les dommages à son tour.;Dommage : 167 Si le Phorreur est au bout de la zone : - Dommage : 55 supplémentaire;6;7;167;209
