Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique
Goutte;0;2;0;0;Eau;;;;Inflige des dommages Eau. Lancé sur un allié, lui applique un bouclier Eau qui réduit la prochaine entrave ennemie reçue.;Dommage : 55 / Bouclier Eau / En subissant un sort de retrait de PA ou de PM : / - La valeur de retrait est réduite de 3 / - Le Féca gagne 2 PA (1 tour) / Case vide : Glyphe fluvial (Niveau 33);;;55;69
Onde;0;2;0;0;Eau;;;;Applique un peu d'Armure sur un allié.;935 Armure / Case vide : Glyphe onduleux (Niveau 935) / - Ce glyphe ne coûte qu'1 PW;;;0;0
Avalanche;0;3;0;0;Eau;;;;Inflige des dommages Eau. Lancé sur une cible, la téléporte sur le centre du glyphe le plus proche. Si la case centrale est occupée par un obstacle, les deux cibles échangent de position.;Dommage : 76 / est téléporté sur la case centrale du glyphe le plus proche (5 cases maximum) / Case vide : Glyphe fluvial (Niveau 45);;;76;95
Orage;0;3;0;0;Eau;;;;Lancé sur un allié, ce sort inflige des dommages conséquents tout autour de celui-ci. Sur un ennemi, celui-ci est déplacé vers le Féca.;Dommage : 105 autour de la cible / Attire de 4 cases / Case vide : Glyphe fluvial (Niveau 63);;;105;132
Lame de fond;0;2;0;0;Eau;;;;Inflige des dommages Eau. Lancé sur un allié, lui applique un bouclier Eau qui déclenchera un bonus défensif en cas d'attaque ennemie reçue.;Dommage : 60 / Bouclier Eau / En subissant un sort de dommages : / - 80 Résistance dans l'élément du sort (1 tour) / Case vide : Glyphe fluvial (Niveau 36);;;60;76
Fécalistofedes;0;5;0;0;Feu;;;;Inflige des dommages Feu. Ce sort coûteux a une puissance importante pour compenser son manque de maniabilité.;Dommage : 176 / Case vide : Glyphe enflammé (Niv. 176);;;176;220
Météorite;0;3;0;0;Feu;;;;Inflige des dommages Feu. Lancé sur un allié, lui applique un bouclier Feu qui déclenchera un bonus en fin de tour du porteur.;Dommage : 91 / Bouclier Feu / En fin de tour : / - Stabilisé, 20 % Coup critique et Parade (1 tour) / Case vide : Glyphe enflammé (Niv. 91);;;91;114
Volcan;0;4;0;0;Feu;;;;Inflige des dommages Feu. Lancé sur un allié, lui applique un bouclier Feu qui déclenchera un bonus en fin de tour du porteur.;Dommage : 121 / Bouclier Feu / En fin de tour : / - Si pas dépensé de PW, 1 PW et 1 998 Armure / Case vide : Glyphe enflammé (Niv. 121);;;121;152
Frappe tellurique;0;4;0;0;Terre;;;;Inflige des dommages Terre. Lancé sur un allié, lui applique un bouclier Terre qui déclenchera un échange de position en début de tour du porteur.;Dommage : 121 / Bouclier Terre / En début de tour : / - Echange de position avec le Féca / - 1 PM et 1 Portée (1 tour) / Case vide : Glyphe terrestre (Niveau 72);;;121;152
Orbe défensif;0;3;0;0;Terre;;;;Inflige des dommages Terre. Lancé sur un allié, lui applique un bouclier Terre qui déclenchera un bonus défensif au début du prochain tour du Féca.;Dommage : 83 / Bouclier Terre / Au début du tour suivant du Féca, si le porteur / n'a subi aucun dommage : / - 1 PW, 2248 Armure / Case vide : Glyphe terrestre (Niv. 50);;;83;104
Bastion;0;2;0;0;Terre;;;;Inflige des dommages Terre. Lancé sur un allié, le Féca prendra 25 % de ses dommages subis à sa place.;Dommage : 75 / Redirige 25 % des dégâts reçus de la part d'un ennemi vers le Féca / Case vide : Glyphe terrestre (Niveau 45);;;75;94
Rempart;0;3;0;0;Terre;;;;Inflige des dommages Terre. Lancé sur un allié, lui applique un bouclier Terre qui déclenchera un bonus défensif en début de tour du porteur.;Dommage : 91 / Bouclier Terre / En début de tour : / - Par ennemi au contact, 749 Armure, Enflammé (12 % du niveau) / Case vide : Glyphe terrestre (Niv. 54);;;91;114
Bâton;0;5;0;0;Terre;;;;Inflige des dommages Terre. Lancé sur un allié, lui applique un bouclier Terre qui déclenchera un bonus offensif en début de tour du porteur.;Dommage : 152 / Bouclier Terre / En début de tour : / - 40 % Dommages infligés en mêlée / - Retiré en fin de tour sans ennemi au contact / Case vide : Glyphe terrestre (Niveau 91);;;152;190
