Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages
Fouet;;4;0;0;air;monocible;1-5;oui;Inflige des dommages doublés sur les invocations.;Dommage : 136 Si la cible est une invocation : - Dommage : 272 à la place;4;5;136;170
Déplumage;;3;0;0;air;monocible;2-5;oui;Tourne le regard de la cible, de manière à donner son dos.;Tourne la cible de dos Dommage : 91;3;3;91;114
Transfert;;3;0;0;air;monocible;1-3;oui;La cible échange de position avec l'invocation. En dragon, l'Osamodas et son invocation échangent de position, puis l'Osamodas inflige des dommages.;Lancé sur un combattant, celui-ci échange de position avec Invocation (7 cases maximum) Dommage : 121 Forme draconique : - échange de position avec son Invocation (7 cases maximum) - Dommage : 121;4;5;121;152
Souffle répulsif;;2;0;0;air;monocible;1-6;oui;Pousse la cible d'une case.;Dommage : 65 Pousse de 1 case;2;2;65;82
Tornade de plumes;;3;0;0;air;zone;3-4;oui;Inflige des dommages en zone. Téléporte l'invocation si le sort est lancé sur une case vide dans un périmètre proche.;Lancé sur une case vide : - L'invocation est téléportée sur la case (2 cases max) Dommage : 83 (sauf sur ) Forme draconique lancé sur ou : - Dommage : 91;3;3;83;104
Corbeau incendiaire;;3;0;0;feu;monocible;3-6;oui;Ce sort peut taper à travers les obstacles. Il inflige des dommages élevés si la cible n'est pas dans la ligne de vue du lanceur.;Dommage : 83 Si la cible n'est pas dans la ligne de vue du lanceur : Dommage : 111 à la place;3;3;83;104
Fouet enflammé;;2;0;0;feu;monocible;2-4;oui;"Échaude la cible. Cette dernière subira plus de dommages indirects. Les dommages dits ""indirects"" sont toutes les sources de dommages causés en dehors des effets d'un sort ou d'une arme. Exemple : glyphes, poisons, auras...";Dommage : 65 Echaudé (Niv. 3);2;2;65;82
Tornade de flammes;;4;0;0;feu;monocible;2-4;oui;Lancé sur un ennemi, celui-ci subit plus de dommages de la part de l'invocation de l'Osamodas. S'il s'agit d'un allié, il reçoit plus de soins de la part de l'invocation.;Dommage : 111 Tornade de flammes - 30 % dommages infligés par Invocation Tornade de flammes - 30 % soins réalisés par Invocation;4;5;111;139
Attisement;;3;0;0;feu;monocible;2-4;oui;Soigne l'invocation de l'Osamodas en fonction des dommages qu'il inflige. Lancé sur un allié, celui-ci est soigné en début de tour pendant plusieurs tours.;Dommage : 97 - Soigne Invocation de 200 % des dommages infligés Attisement (2 tours);4;5;97;121
Souffle du dragon;;5;0;0;feu;zone;3-4;oui;Inflige des dommages élevés en zone. En forme draconique, la cible du sort est blessée mais les dommages infligés autour de celle-ci sont augmentés.;Dommage : 164 Forme draconique lancé sur ou : - Dommage : 244 - La cible d'origine perd 10 % de ses PV courants;5;6;164;205
Tempête de sable;;4;0;0;terre;monocible;1-4;oui;L'invocation de l'Osamodas devient plus résistante si elle est au contact de la cible.;Dommage : 152 Si Invocation est au contact de la cible : - 100 Résistance Élémentaire - 490 Tacle - 30 % Parade;5;6;152;190
Pesanteur;;2;0;0;terre;monocible;1-2;oui;Retire du tacle et de l'esquive à la cible.;Dommage : 58 -123 Tacle et Esquive;2;2;58;72
Empalement;;5;0;0;terre;monocible;1-1;oui;Inflige des dommages élevés au corps-à-corps.;Dommage : 194;5;6;194;243
Gambade;;3;0;0;terre;monocible;1-3;oui;Inflige des dommages et confère un bonus de mobilité au lanceur.;Dommage : 91 1 PM;3;3;91;114
Frappe du craqueleur;;4;0;0;terre;zone;1-5;oui;Inflige des dommages en zone. En dragon, attire les combattants en ligne avec la cible vers celle-ci.;Dommage : 121 Forme draconique lancé sur ou : - Attire de 2 cases les entités alignées (5) - Dommage : 121;4;5;121;152
